run,game,llm,color,pass_move,original_player,tested_player,elo,trials,passes,resignations,choices
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,W,80,kata1-b6c96-s18429184-d3197121,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,2,0,"{""A1"": 2, ""A2"": 3, ""B1"": 2, ""C1"": 1, ""C6"": 6, ""F2"": 1, ""J2"": 2, ""J3"": 1, ""pass"": 2}"
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,W,56,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A1"": 1, ""B1"": 1, ""B5"": 3, ""E1"": 1, ""E2"": 2, ""E3"": 2, ""E7"": 1, ""F3"": 1, ""F4"": 2, ""F9"": 1, ""G4"": 1, ""G8"": 1, ""H3"": 1, ""H4"": 1, ""J2"": 1}"
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,B,59,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A4"": 1, ""A6"": 2, ""A8"": 1, ""A9"": 1, ""B7"": 4, ""F6"": 1, ""F7"": 1, ""F9"": 1, ""G3"": 1, ""G6"": 1, ""H2"": 1, ""H4"": 1, ""H6"": 1, ""J6"": 1, ""J9"": 2}"
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,19,0,"{""G1"": 1, ""pass"": 19}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,15,0,"{""A9"": 3, ""B8"": 2, ""pass"": 15}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,11,0,"{""A8"": 8, ""C2"": 1, ""pass"": 11}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,9,0,"{""E1"": 5, ""G1"": 4, ""H2"": 2, ""pass"": 9}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,4,0,"{""A7"": 1, ""D2"": 1, ""E2"": 4, ""F2"": 3, ""G2"": 2, ""H2"": 5, ""pass"": 4}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,2,0,"{""A2"": 1, ""A7"": 3, ""A9"": 1, ""B2"": 1, ""B9"": 1, ""H2"": 1, ""J7"": 10, ""pass"": 2}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,12,0,"{""A8"": 4, ""C1"": 1, ""E1"": 1, ""J7"": 2, ""pass"": 12}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,15,0,"{""H2"": 5, ""pass"": 15}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,0,0,"{""A7"": 1, ""E2"": 1, ""H1"": 18}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,1,0,"{""C3"": 12, ""D3"": 6, ""H4"": 1, ""pass"": 1}"
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,W,80,kata1-b6c96-s18429184-d3197121,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,16,0,"{""A2"": 1, ""C6"": 2, ""H2"": 1, ""pass"": 16}"
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,W,56,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,5,0,"{""B5"": 14, ""G4"": 1, ""pass"": 5}"
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,B,59,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s13733120-d2631546-temp-0.3,2002.0,20,7,0,"{""B2"": 1, ""E2"": 1, ""F7"": 1, ""H4"": 1, ""J7"": 1, ""J9"": 8, ""pass"": 7}"
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""G1"": 20}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""A7"": 1, ""A9"": 2, ""B8"": 17}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""A8"": 3, ""C2"": 16, ""D3"": 1}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""E1"": 20}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""A7"": 5, ""A9"": 15}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""A7"": 17, ""J7"": 3}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""C9"": 3, ""G9"": 6, ""J7"": 11}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""H2"": 20}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""H1"": 20}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""C3"": 1, ""D3"": 19}"
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,W,80,kata1-b6c96-s18429184-d3197121,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""C6"": 20}"
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,W,56,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""A9"": 1, ""B5"": 19}"
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,B,59,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s103950080-d15368530,3293.0,20,0,0,"{""J7"": 7, ""J9"": 13}"
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""E1"": 1, ""G1"": 19}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""A7"": 18, ""A9"": 1, ""B8"": 1}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""A8"": 18, ""E1"": 2}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""E1"": 2, ""G1"": 18}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""A7"": 5, ""A9"": 15}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""A9"": 4, ""D7"": 1, ""J7"": 15}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""A9"": 5, ""G9"": 9, ""J9"": 6}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""H2"": 18, ""J3"": 2}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""H1"": 20}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""C3"": 13, ""D3"": 7}"
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,W,80,kata1-b6c96-s18429184-d3197121,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""C6"": 20}"
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,W,56,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""B5"": 20}"
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,B,59,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b18c384nbt-s9761732864-d4253420187,4148.0,20,0,0,"{""J7"": 3, ""J9"": 17}"
